family,mode,best_epoch,best_val_iou,best_val_dice,best_val_loss,train_iou_at_best,train_loss_at_best,runtime_seconds,epochs
baseline,part_only,20,0.30833807134319663,0.3955388993764258,0.6671884013611136,0.40748968557834886,0.5389114418549817,4963.469439029694,20
baseline,object_mask,13,0.32104237977226446,0.411913811871149,0.6460477722629888,0.3889045057599206,0.5593978076675585,5012.359502077103,20
geometry,object_mask,18,0.32460540455907677,0.4141194360991769,0.6438066703473352,0.426749001328271,0.5152727581833588,5198.013017416,20
geometry,absolute_xy,14,0.3291480585273673,0.4202359858840029,0.6357262873983949,0.40600458365185516,0.5389275800905444,5108.317544460297,20
geometry,relative_uv,11,0.3300837267435356,0.424322640014955,0.632736856626204,0.37451981572052984,0.5765626079059535,5183.512534856796,20
alignment,mask_baseline,13,0.29765666871780716,0.3910472896171105,0.63777129279757,0.3528843428995407,0.5689798427091854,1996.537874698639,20
alignment,alignment_mask,13,0.308439131275607,0.40293816889374,0.773585965075282,0.369251406085594,0.6899370045222685,1898.4627656936646,20
alignment,alignment_relative_uv,13,0.3110090555845958,0.406118950841219,0.7649976207986233,0.38333796240064416,0.6719219019394183,1973.7349157333374,20
uvd,fixed_uvd,16,0.3336099155866084,0.4245258064492492,0.6324553201628091,0.4176239926076109,0.5252424705607481,5196.633481264114,20
uvd,query_gated_uvd,17,0.327294202266259,0.41783895677090205,0.6407873336036871,0.42441453505119453,0.5171804221312681,5191.578394651413,20
object_zoom,mask_baseline,15,0.3732237776152653,0.4719703998637688,0.590940221034979,0.448030974974114,0.4977070598403528,5532.5315754413605,20
object_zoom,alignment_mask,13,0.38783929838588965,0.48826743686469243,0.7127652557279428,0.45523404097096243,0.627864715994531,5649.155549526215,20
object_zoom,alignment_relative_uv,13,0.3847361311493311,0.4833509258789281,0.7166560849068363,0.45447038718812494,0.6286711658758595,5670.687139987946,20
object_zoom,alignment_fixed_uvd,15,0.38293695655584076,0.4830084001362131,0.7185582870289988,0.4643618849371761,0.6167797513806978,5854.293192863464,20
object_zoom,alignment_query_gated_uvd,15,0.38345340929499466,0.4809190957227314,0.7213976333056453,0.4684905082696483,0.6122604759908012,5831.389308214188,20
